module,type,name,res_id,src,value,comments
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Session name:,Session name:,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,or,or,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Cancel,रद्द,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Subscribe,Subscribe,
openacademy,model_terms,"ir.ui.view,arch_db",openacademy.wizard_form_view,Add Attendees,Add Attendees,
openacademy,model,"res.groups,name",openacademy.group_manager,OpenAcademy / Manager,OpenAcademy / Manager,
openacademy,model,"res.partner.category,name",openacademy.teacher1,Teacher / Level 1,Teacher / Level 1,
openacademy,model,"res.partner.category,name",openacademy.teacher2,Teacher / Level 2,Teacher / Level 2,
openacademy,code,addons/openacademy/models/models.py,25,Copy of {}%,Copy of {}%,
openacademy,code,addons/openacademy/models/models.py,28,Copy of {},Copy of {},
openacademy,code,addons/openacademy/models/models.py,31,Copy of {} ({}),Copy of {} ({}),
openacademy,code,addons/openacademy/models/models.py,89,Incorrect 'seats' value,Incorrect 'seats' value,
openacademy,code,addons/openacademy/models/models.py,90,The number of available seats may not be negative,The number of available seats may not be negative,
openacademy,code,addons/openacademy/models/models.py,96,Too many attendees,Too many attendees,
openacademy,code,addons/openacademy/models/models.py,97,Increase seats or remove excess attendees,Increase seats or remove excess attendees,
openacademy,code,addons/openacademy/models/models.py,135,A session's instructor can't be an attendee,A session's instructor can't be an attendee,
